question,cypher,type,database,syntax_error,timeout,returns_results,schema
What are the top 5 products managed by the Haiti Field Office?,"MATCH (o:Office{name: 'Haiti Field Office'})-[:MANAGED_BY]->(p:Product)
RETURN p
ORDER BY p.line_item_quantity DESC
LIMIT 5",Simple Retrieval Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
List the product groups associated with products managed by the Haiti Field Office.,"MATCH (p:Product)-[:GROUP]->(pg:Product_Group)
MATCH (p)-[:MANAGED_BY]->(:Office {name: 'Haiti Field Office'})
RETURN DISTINCT pg.name",Pathfinding Queries,neo4j,False,False,False,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
Show the first 3 brands associated with products that have an item description including 'HIV Kit'.,"MATCH (p:Product)-[:BRAND]->(b:Brand)
WHERE p.item_description CONTAINS 'HIV Kit'
RETURN DISTINCT b.name
LIMIT 3",Pathfinding Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
Which countries receive products from vendors named 'ABBOTT LABORATORIES (PUERTO RICO)'?,"MATCH (v:Vendor {name: 'ABBOTT LABORATORIES (PUERTO RICO)'})-[:VENDOR]->(p:Product)-[:WEIGHT]->(c:Country)
RETURN DISTINCT c.name",Pathfinding Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
What are the names of products managed by the Ethiopia Field Office with a line item quantity less than 20?,"MATCH (p:Product)-[:MANAGED_BY]->(:Office{name: 'Ethiopia Field Office'})
WHERE p.line_item_quantity < ""20"" AND p.line_item_quantity IS NOT NULL
RETURN p.name",Pathfinding Queries,neo4j,False,False,False,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
Which vendors supply products to offices that manage more than 3 different types of product groups?,"MATCH (v:Vendor)-[:VENDOR]->(p:Product)-[:GROUP]->(pg:Product_Group)
MATCH (p)-[:MANAGED_BY]->(o:Office)
WITH v, o, count(DISTINCT pg) AS numProductGroups
WHERE numProductGroups > 3
RETURN DISTINCT v.name AS Vendor, o.name AS Office, numProductGroups as NumberOfProductGroups",Pathfinding Queries,neo4j,False,False,False,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
List the offices that manage products under the 'Malaria' sub class.,"MATCH (o:Office)-[:MANAGED_BY]->(p:Product)-[:SUB_CLASS]->(:Sub_Class{name: 'Malaria'})
RETURN o;",Pathfinding Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
Identify the brands of products that have a project code ending in 'T01' and are associated with the 'ANTM' group.,"MATCH (p:Product)-[:BRAND]->(b:Brand)
WHERE p.project_code ENDS WITH 'T01' 
AND (p)-[:GROUP]->(:Product_Group {name: 'ANTM'})
RETURN DISTINCT b.name",Pathfinding Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
Which countries are linked to products with a shipment number that includes '52'?,"MATCH (p:Product)-[:WEIGHT]->(c:Country)
WHERE p.shipment_number IS NOT NULL AND p.shipment_number CONTAINS '52'
RETURN DISTINCT c.name",Pathfinding Queries,neo4j,False,False,True,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
List the products that have a unit of measure per pack of 30 and are managed by the PMO - US office.,"MATCH (p:Product)
WHERE p.unit_of_measure_per_pack = ""30""
AND (p)-[:MANAGED_BY]->(:Office {name: 'PMO - US'})
RETURN p",Pathfinding Queries,neo4j,False,False,False,"Node properties:
Product {unit_of_measure_per_pack: STRING, line_item_quantity: STRING, pack_price: STRING, embedding: LIST, molecule_test_type: STRING, shipment_number: STRING, pid: INTEGER, item_description: STRING, project_code: STRING, price_quote: STRING}
Country {name: STRING}
Vendor {name: STRING}
Brand {name: STRING}
Product_Group {name: STRING}
Sub_Class {name: STRING}
Office {name: STRING}
Relationship properties:
WEIGHT {weight: FLOAT}
The relationships:
(:Product)-[:WEIGHT]->(:Country)
(:Product)-[:BRAND]->(:Brand)
(:Product)-[:GROUP]->(:Product_Group)
(:Product)-[:SUB_CLASS]->(:Sub_Class)
(:Vendor)-[:VENDOR]->(:Product)
(:Office)-[:MANAGED_BY]->(:Product)"
